scorer,Nahom Mossazghi,Nahom Mossazghi,Nahom Mossazghi,Nahom Mossazghi,Nahom Mossazghi,Nahom Mossazghi,Nahom Mossazghi,Nahom Mossazghi,Nahom Mossazghi,Nahom Mossazghi,Nahom Mossazghi,Nahom Mossazghi,Nahom Mossazghi,Nahom Mossazghi,Nahom Mossazghi,Nahom Mossazghi,Nahom Mossazghi,Nahom Mossazghi,Nahom Mossazghi,Nahom Mossazghi,Nahom Mossazghi,Nahom Mossazghi,Nahom Mossazghi,Nahom Mossazghi,Nahom Mossazghi,Nahom Mossazghi,Nahom Mossazghi,Nahom Mossazghi,Nahom Mossazghi,Nahom Mossazghi,Nahom Mossazghi,Nahom Mossazghi
bodyparts,leye,leye,reye,reye,lnostril,lnostril,rnostril,rnostril,ltuft1,ltuft1,ltuft2,ltuft2,rtuft1,rtuft1,rtuft2,rtuft2,mhead,mhead,topmidlip,topmidlip,bottommidlip,bottommidlip,rlip,rlip,llip,llip,mchest,mchest,rchest,rchest,lchest,lchest
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/e3v8150-20200303T1152-1208/img00356.png,574.9842654365896,302.5695168955002,,,622.3504868194975,346.220740522886,,,520.1880485426373,229.19831122393697,514.615551909354,247.7733000015479,,,,,608.4192452362893,285.85202699565036,631.637981208303,375.01197312818294,626.0654845750197,385.22821695586896,,,576.8417643143507,371.29697537266077,,,,,,
labeled-data/e3v8150-20200303T1152-1208/img00605.png,668.6693725585938,147.8143310546875,,,742.674560546875,143.42532348632812,,,556.3624877929688,146.6211395263672,574.5711059570312,196.3460693359375,633.60546875,102.35939025878906,,,663.0968627929688,93.76985168457031,773.9800415039062,153.58566284179688,775.5556030273438,161.4264678955078,,,729.8588256835938,198.9016571044922,595.5750122070312,529.1906127929688,739.2301377618419,413.46489903755423,530.7221069335938,420.56072998046875
labeled-data/e3v8150-20200303T1152-1208/img02089.png,697.5791913688219,164.18585050229865,,,748.6604105072519,170.68709657446243,,,602.8467486030061,130.75087070259895,611.205493552931,178.11709208550684,,,,,724.5129250963577,115.89087968051012,778.3803925514295,179.97459096326793,775.5941442347879,192.9770831075956,,,724.5129250963577,226.4120629072953,652.9992183025556,507.8231428881013,,,587.0580081420367,361.08073154497475
labeled-data/e3v8150-20200303T1152-1208/img02200.png,628.8517328916613,206.9083246908038,702.2229385632246,189.26208535207343,686.4341981022552,226.4120629072953,725.4416745352383,211.55207188520654,530.4042923703233,161.39960218565693,529.4755429314428,221.76831571289256,682.7192003467331,134.46586845812112,725.4416745352383,174.40209432998466,669.7167082024054,157.68460443013475,711.5104329520301,244.05830224602573,714.2966812686717,253.34579663483117,740.301665557327,266.34828877915885,654.8567171803167,283.9945281178893,602.8467486030061,530.1131294212344,688.2916969800164,453.026925994149,533.1905406869649,424.235693388852
labeled-data/e3v8150-20200303T1152-1208/img02992.png,788.0333251953125,190.81130981445312,,,,,,,665.9105834960938,117.00162506103516,677.4951782226562,159.98068237304688,,,,,788.6391171576113,147.89163478529395,,,,,,,,,642.2796020507812,516.8695678710938,743.228271484375,405.768310546875,569.3867710888848,378.4668719655509
labeled-data/e3v8150-20200303T1152-1208/img03558.png,,,372.78020724321914,440.2280962102626,,,346.6871643066406,477.9599914550781,,,,,449.6500244140625,257.9537048339844,462.33398239805103,338.3220762064883,298.0928649902344,371.12799072265625,,,346.5148010253906,491.5024108886719,393.36728199145637,489.637075606032,,,597.499267578125,545.1360473632812,703.96044921875,490.9552917480469,478.8036421966409,513.3122115665049
labeled-data/e3v8150-20200303T1152-1208/img04044.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v8150-20200303T1152-1208/img05437.png,710.5816835131494,164.18585050229865,,,783.9528891847127,204.1220763741622,,,534.1192901258455,105.67463585282405,561.9817732922619,157.68460443013475,,,,,730.0854217296411,101.95963809730188,787.667886940235,238.4858056127424,783.9528891847127,249.630798879309,,,721.7266767797161,257.9895438292339,581.4855115087535,528.2556305434733,734.7291689240438,404.7319551723605,472.8218271597294,407.51820348900213
